tid,name,v_name,active_year_category
257,Journalism,Award Category,
258,"Books, Drama &amp; Music",Award Category,
259,Special Citations,Award Category,
204,Public Service,Award Category,
205,Breaking News Reporting,Award Category,
206,Investigative Reporting,Award Category,
207,Explanatory Reporting,Award Category,
208,Local Reporting,Award Category,
209,National Reporting,Award Category,
210,International Reporting,Award Category,
211,Feature Writing,Award Category,
212,Commentary,Award Category,
213,Criticism,Award Category,
214,Editorial Writing,Award Category,
215,Editorial Cartooning,Award Category,
216,Breaking News Photography,Award Category,
217,Feature Photography,Award Category,
263,Correspondence,Award Category,
264,Explanatory Journalism,Award Category,
265,General News Reporting,Award Category,
266,Local General or Spot News Reporting,Award Category,
267,Local Investigative Specialized Reporting,Award Category,
268,Local Reporting - Edition time,Award Category,
269,Local Reporting - No edition time,Award Category,
270,Newspaper History Award,Award Category,
271,Photography,Award Category,
272,Reporting,Award Category,
273,Specialized Reporting,Award Category,
274,Spot News Photography,Award Category,
275,Spot News Reporting,Award Category,
276,Telegraphic Reporting - International,Award Category,
277,Telegraphic Reporting - National,Award Category,
278,Beat Reporting,Award Category,
609,Criticism or Commentary,Award Category,
631,Audio Reporting,Award Category,
644,Illustrated Reporting and Commentary,Award Category,
218,Drama,Award Category,
219,Fiction,Award Category,
220,History,Award Category,
222,Biography,Award Category,
223,General Nonfiction,Award Category,
224,Poetry,Award Category,
225,Music,Award Category,
261,Novel,Award Category,
650,Memoir or Autobiography,Award Category,
260,Special Citations and Awards,Award Category,
