title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,filename_year,tid,year,tid_category,category
John F. Kennedy,6114,winner,1439235142,winners/john-f-kennedy,,222,163,"Profiles in Courage
","Harper
",1957,163,1957,222,Biography
Eugene O'Neill,6115,winner,1439235142,winners/eugene-oneill-2,,218,163,"Long Day&#039;s Journey Into Night
",,1957,163,1957,218,Drama
Tom Little,6116,winner,1439235142,winners/tom-little,"For &quot;Wonder Why My Parents Didn&#039;t Give Me Salk Shots?&quot;  Published on January 12, 1956.
",215,163,"The Nashville Tennessean
",,1957,163,1957,215,Editorial Cartooning
Buford Boone,6117,winner,1439235142,winners/buford-boone,"For his fearless and reasoned editorials in a community inflamed by a segregation issue, an outstanding example of his work being the editorial entitled, &quot;What a Price for Peace,&quot; published on February 7,1956.
",214,163,"Tuscaloosa (AL) News
",,1957,163,1957,214,Editorial Writing
George F. Kennan,6118,winner,1439235142,winners/george-f-kennan,,220,163,"Russia Leaves the War: Soviet-American Relations, 1917-192O
","Princeton Univ. Press
",1957,163,1957,220,History
Russell Jones,6119,winner,1439235142,winners/russell-jones,"For his excellent and sustained coverage of the Hungarian revolt against Communist domination, during which he worked at great personal risk within Russian-held Budapest and gave front-line eyewitness reports of the ruthless Soviet repression of the Hungarian people.
",210,163,"United Press
",,1957,163,1957,210,International Reporting
Staff,6120,winner,1439235142,winners/staff-2,"For its prompt and efficient coverage of the crash of two air liners over the Grand Canyon, in which 128 persons were killed. This was a team job that surmounted great difficulties in distance, time and terrain.
",,163,"Salt Lake (UT) Tribune
",,1957,163,1957,,
Norman Dello Joio,6122,winner,1468872447,winners/norman-dello-joio,"First performed at the Juilliard School of Music on April 20, 1956.
",225,163,Meditations on Ecclesiastes,,1957,163,1957,225,Music
James Reston,6123,winner,1439235142,winners/james-reston,"For his distinguished national correspondence, including both news dispatches and interpretive reporting, an outstanding example of which was his five-part analysis of the effect of President Eisenhower&#039;s illness on the functioning of the Executive Branch of the Federal Government.
",209,163,"The New York Times
",,1957,163,1957,209,National Reporting
Harry A. Trask,6124,winner,1469465731,winners/harry-trask,"For his dramatic and outstanding photographic sequence of the sinking of the liner Andrea Doria, the pictures being taken from an airplane flying at a height of 75 feet only nine minutes before the ship plunged to the bottom. (The second picture in the sequence is cited as the key photograph.)
",271,163,Boston Traveler,,1957,163,1957,271,Photography
Richard Wilbur,6125,winner,1439235142,winners/richard-wilbur,,224,163,"Things of This World
","Harcourt
",1957,163,1957,224,Poetry
Chicago Daily News,6126,winner,1439235142,winners/chicago-daily-news,"For determined and courageous public service in exposing a $2,500,000 fraud centering in the office of the State Auditor of Illinois, resulting in the indictment and conviction of the State Auditor and others. This led to the reorganization of State procedures to prevent a recurrence of the fraud.
",204,163,"Chicago Daily News
",,1957,163,1957,204,Public Service
Staff,13943,winner,1444839818,winners/staff-77,"For its prompt and efficient coverage of the crash of two air liners over the Grand Canyon, in which 128 persons were killed. This was a team job that surmounted great difficulties in distance, time and terrain.
",268,163,"Salt Lake (UT) Tribune
",,1957,163,1957,268,Local Reporting - Edition time
Wallace Turner and William Lambert,13944,winner,1467826616,winners/wallace-turner-and-william-lambert,"For their expose of vice and corruption in Portland involving some municipal officials and officers of the International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America, Western Conference. They fulfilled their assignments despite great handicaps and the risk of reprisal from lawless elements.
",269,163,Portland Oregonian,,1957,163,1957,269,Local Reporting - No edition time
Kenneth Roberts,14060,winner,1452194173,winners/kenneth-roberts,For his historical novels which have long contributed to the creation of greater interest in our early American history.,260,163,,,1957,163,1957,260,Special Citations and Awards
Anthony Doerr,7215,winner,1461594832,winners/anthony-doerr,"An imaginative and intricate novel inspired by the horrors of World War II and written in short, elegant chapters that explore human nature and the contradictory power of technology.
",219,105,All the Light We Cannot See,Scribner,2015,105,2015,219,Fiction
Julia Wolfe,7216,winner,1445291422,winners/julia-wolfe,"A powerful oratorio for chorus and sextet evoking Pennsylvania coal-mining life around the turn of the 20th Century.
",225,105,Anthracite Fields,"Red Poppy Music/G. Schirmer, Inc.",2015,105,2015,225,Music
Stephen Adly Guirgis,7217,winner,1445289483,winners/stephen-adly-guirgis,"A nuanced, beautifully written play about a retired police officer faced with eviction that uses dark comedy to confront questions of life and death.
",218,105,Between Riverside and Crazy,,2015,105,2015,218,Drama
David I. Kertzer,7218,winner,1441902692,winners/david-i-kertzer,"An engrossing dual biography that uses recently opened Vatican archives to shed light on two men who exercised nearly absolute power over their realms.
",222,105,The Pope and Mussolini: The Secret History of Pius XI and the Rise of Fascism in Europe,Random House,2015,105,2015,222,Biography
Gregory Pardlo,7219,winner,1445289829,winners/gregory-pardlo,"Clear-voiced poems that bring readers the news from 21st Century America, rich with thought, ideas and histories public and private.
",224,105,Digest,Four Way Books,2015,105,2015,224,Poetry
Elizabeth Kolbert,7220,winner,1451846117,winners/elizabeth-kolbert,"An exploration of nature that forces readers to consider the threat posed by human behavior to a world of astonishing diversity.
",223,105,The Sixth Extinction: An Unnatural History ,Henry Holt,2015,105,2015,223,General Nonfiction
The Seattle Times Staff,7221,winner,1459315746,winners/seattle-times-staff,"For its digital account of a landslide that killed 43 people and the impressive follow-up reporting that explored whether the calamity could have been avoided.
",205,105,,,2015,105,2015,205,Breaking News Reporting
Lisa Falkenberg,7222,winner,1510002070,winners/lisa-falkenberg,"For vividly-written, groundbreaking columns about grand jury abuses that led to a wrongful conviction and uncovered other egregious problems in the legal and immigration systems.
",212,105,Houston Chronicle,,2015,105,2015,212,Commentary
Elizabeth A. Fenn,7223,winner,1442424291,winners/elizabeth-fenn,"An engrossing, original narrative showing the Mandans, a Native American tribe in the Dakotas, as a people with a history.
",220,105,Encounters at the Heart of the World: A History of the Mandan People,Hill and Wang,2015,105,2015,220,History
