title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,filename_year,tid,year,tid_category,category
Peter Gay,4225,finalist,1438981215,finalists/peter-gay,,222,131,"Freud: A Life For Our Time
","W.W. Norton
",1989,131,1989,222,Biography
Arnold Rampersad,4226,finalist,1438981215,finalists/arnold-rampersad,,222,131,"The Life of Langston Hughes: Volume II, 1941-1967: I Dream a World
","Oxford University Press
",1989,131,1989,222,Biography
Neil Sheehan,4227,finalist,1438981215,finalists/neil-sheehan,,222,131,"A Bright Shining Lie: John Paul Vann and America in Vietnam
","Random House
",1989,131,1989,222,Biography
Richard Cohen,4228,finalist,1438981215,finalists/richard-cohen-0,"For his clear and controlled commentary on social and political topics.
",212,131,"The Washington Post
",,1989,131,1989,212,Commentary
Michael Kinsley,4229,finalist,1438981215,finalists/michael-kinsley-0,"For informed commentary on a variety of national issues.
",212,131,"United Feature Syndicate
",,1989,131,1989,212,Commentary
Joyce Millman,4230,finalist,1438981215,finalists/joyce-millman,"For her criticism of television and other subjects.
",213,131,"San Francisco Examiner
",,1989,131,1989,213,Criticism
David Richards,4231,finalist,1438981215,finalists/david-richards,"For his theater criticism.
",213,131,"The Washington Post
",,1989,131,1989,213,Criticism
David Henry Hwang,4232,finalist,1438981215,finalists/david-henry-hwang,,218,131,"M. Butterfly
",,1989,131,1989,218,Drama
August Wilson,4233,finalist,1438981215,finalists/august-wilson,,218,131,"The Piano Lesson
",,1989,131,1989,218,Drama
Steve Benson,4234,finalist,1438981215,finalists/steve-benson-0,,215,131,"The Arizona Republic
",,1989,131,1989,215,Editorial Cartooning
Joel W. Pett,4235,finalist,1438981215,finalists/joel-w-pett,,215,131,"Lexington (KY) Herald-Leader
",,1989,131,1989,215,Editorial Cartooning
Bill Bishop,4236,finalist,1438981215,finalists/bill-bishop,"For an editorial campaign against broad-form deeds in the state which helped convince voters to approve limits on their use.
",214,131,"Lexington (KY) Herald-Leader
",,1989,131,1989,214,Editorial Writing
Editorial Board,4237,finalist,1438981215,finalists/editorial-board,"For a series of editorials about the coming generation of children threatened by poverty and about the urgent need for political intervention and reform
",214,131,"The New York Times
",,1989,131,1989,214,Editorial Writing
David Shaw,4238,finalist,1438981215,finalists/david-shaw,"For his candid and thorough reporting on media practices and practitioners.
",264,131,"Los Angeles Times
",,1989,131,1989,264,Explanatory Journalism
Bernard Wysocki Jr.,4239,finalist,1438981215,finalists/bernard-wysocki-jr,"For stories about America&#039;s struggle to maintain its technological superiority over international competitors, especially Japan.
",264,131,"The Wall Street Journal
",,1989,131,1989,264,Explanatory Journalism
Donna Bagby,4240,finalist,1438981215,finalists/donna-bagby,"For her photograph of grieving Dallas police officers at the funeral of a slain patrolman.
",217,131,"Dallas Times Herald
",,1989,131,1989,217,Feature Photography
Frederic Larson,4241,finalist,1438981215,finalists/frederic-larson,"For his photographs of atomic bomb survivors in Japan.
",217,131,"San Francisco Chronicle
",,1989,131,1989,217,Feature Photography
Tad Bartimus,4242,finalist,1438981215,finalists/tad-bartimus,"For her story about the accidental drowning of three brothers and the effect it had on their small Missouri town.
",211,131,"Associated Press
",,1989,131,1989,211,Feature Writing
Bob Ehlert,4243,finalist,1438981215,finalists/bob-ehlert,"For his stories about a local priest accused of sexual abuse.
",211,131,"Star-Tribune
",,1989,131,1989,211,Feature Writing
Loretta Tofani,4244,finalist,1438981215,finalists/loretta-tofani,"For stories about a heroin addict&#039;s pregnancy and the birth of her addicted infant.
",211,131,"The Philadelphia Inquirer
",,1989,131,1989,211,Feature Writing
Raymond Carver,4245,finalist,1438981215,finalists/raymond-carver-0,,219,131,"Where I&#039;m Calling From
","Atlantic Monthly
",1989,131,1989,219,Fiction
Nancy Badertscher,4246,finalist,1438981215,finalists/nancy-badertscher,"For persistent reporting that revealed expense account abuses by members of the local County Board of Commissioners.
",265,131,"Gwinnett Daily News
",,1989,131,1989,265,General News Reporting
News Staff,4247,finalist,1438981215,finalists/news-staff,"For coverage of the fires in Yellowstone National Park.
",265,131,"Billings (MT) Gazette
",,1989,131,1989,265,General News Reporting
Justin Gillis and Lisa Getter,4248,finalist,1438981215,finalists/justin-gillis-and-lisa-getter,"For their investigation of financial wrongdoing by a popular county manager, reporting which was conducted in the face of strong local opposition and which ultimately led to the official&#039;s resignation.
",265,131,"The Miami Herald
",,1989,131,1989,265,General News Reporting
McGeorge Bundy,4249,finalist,1438981215,finalists/mcgeorge-bundy,,223,131,"Danger and Survival
","Random House
",1989,131,1989,223,General Nonfiction
Timothy Ferris,4250,finalist,1438981215,finalists/timothy-ferris,,223,131,"Coming of Age in the Milky Way
","William Morrow and Company
",1989,131,1989,223,General Nonfiction
Howard Kohn,4251,finalist,1438981215,finalists/howard-kohn,,223,131,"The Last Farmer
","Summit Books
",1989,131,1989,223,General Nonfiction
Eric Foner,4252,finalist,1438981215,finalists/eric-foner,,220,131,"Reconstruction: America&#039;s Unfinished Revolution, 1863-1877
","Harper &amp; Row
",1989,131,1989,220,History
Neil Sheehan,4253,finalist,1438981215,finalists/neil-sheehan-0,,220,131,"A Bright Shining Lie: John Paul Vann and America in Vietnam
","Random House
",1989,131,1989,220,History
David Zucchino,4254,finalist,1438981215,finalists/david-zucchino-0,"For his richly compelling series, &quot;Being Black in South Africa.&quot; (Moved by the Board to the Feature Writing category.)
",210,131,"The Philadelphia Inquirer
",,1989,131,1989,210,International Reporting
Mary Bishop,4255,finalist,1438981215,finalists/mary-bishop,"For her investigation of dangerous practices and fraud in Virginia&#039;s pest control industry.
",206,131,"The Roanoke (VA) Times and World News
",,1989,131,1989,206,Investigative Reporting
Elsa Walsh and Benjamin Weiser,4256,finalist,1438981215,finalists/elsa-walsh-and-benjamin-weiser,"For a series about how court secrecy procedures have created a system of private justice within the public courts.
",206,131,"The Washington Post
",,1989,131,1989,206,Investigative Reporting
Penny Loeb,4257,finalist,1438981215,finalists/penny-loeb,"For her reports on a public housing program that allowed prosperous tenants to live in city projects intended for citizens with limited income.
",206,131,"Newsday
",,1989,131,1989,206,Investigative Reporting
Bright Sheng,4258,finalist,1438981215,finalists/bright-sheng,"Premiered on April 17, 1988, at the 92nd Street Y, New York City
",225,131,"H&#039;un (Lacerations): In Memoriam 1966-1976
",,1989,131,1989,225,Music
Steven Stucky,4259,finalist,1438981215,finalists/steven-stucky,"Premiered on October 27, 1988, in Philadelphia.
",225,131,"Concerto for Orchestra
",,1989,131,1989,225,Music
Scot Lehigh,4260,finalist,1438981215,finalists/scot-lehigh,"For his insightful coverage of the presidential campaign of Massachusetts Governor Michael Dukakis.
",209,131,"The Boston Phoenix
",,1989,131,1989,209,National Reporting
Matthew Purdy,4261,finalist,1438981215,finalists/matthew-purdy,"For his reporting on abuses in America&#039;s kidney dialysis program.
",209,131,"The Philadelphia Inquirer
",,1989,131,1989,209,National Reporting
Donald Hall,4262,finalist,1438981217,finalists/donald-hall,,224,131,"The One Day
","Ticknor &amp; Fields
",1989,131,1989,224,Poetry
Garrett Hongo,4263,finalist,1438981217,finalists/garrett-hongo,,224,131,"The River of Heaven
","Alfred A. Knopf
",1989,131,1989,224,Poetry
Staff,4264,finalist,1438981217,finalists/staff-39,"For its campaign urging reform of the state&#039;s public education system, which helped prompt legislation initiating change.
",204,131,"Shreveport (LA) Times
",,1989,131,1989,204,Public Service
Staff,4265,finalist,1438981217,finalists/staff-40,"For an investigation by Bill Dedman of the racial discrimination practiced by lending institutions in Atlanta, reporting which led to significant reforms in those policies.
",204,131,"The Atlanta Journal and Constitution
",,1989,131,1989,204,Public Service
Staff,4266,finalist,1438981217,finalists/staff-41,"For a 15-month investigation by Donald L. Barlett and James B. Steele of &quot;rifle shot&quot; provisions in the Tax Reform Act of 1986, a series which aroused such widespread public indignation that Congress subsequently rejected proposals giving special tax breaks to many politically connected individuals and businesses.
",204,131,"The Philadelphia Inquirer
",,1989,131,1989,204,Public Service
Dennis Anderson,4267,finalist,1438981217,finalists/dennis-anderson,"For his stories detailing the problems and abuses that endanger America&#039;s waterfowl.
",273,131,"St. Paul Pioneer Press Dispatch
",,1989,131,1989,273,Specialized Reporting
Mike Masterson and Chuck Cook,4268,finalist,1438981217,finalists/mike-masterson-and-chuck-cook,"For their stories about risks to elderly Americans from prescription errors, drug interactions and medication abuse.
",273,131,"The Arizona Republic
",,1989,131,1989,273,Specialized Reporting
George Riedel,4269,finalist,1438981217,finalists/george-riedel,"For his series of photographs from an airshow disaster in Ramstein, West Germany, where three Italian stunt planes collided in mid-air.
",274,131,"Associated Press
",,1989,131,1989,274,Spot News Photography
Ben Van Hook,4270,finalist,1438981217,finalists/ben-van-hook,"For his photograph of a boy clutching his father at a memorial service for 27 victims of a bus accident in northern Kentucky.
",274,131,"The Louisville Courier-Journal
",,1989,131,1989,274,Spot News Photography
Cameron W. Barr,4842,finalist,1438981245,finalists/cameron-w-barr,"For the extraordinary clarity, diversity and context in his ongoing coverage of the Israeli-Palestinian conflict.
",278,117,"The Christian Science Monitor
",,2003,117,2003,278,Beat Reporting
David Cay Johnston,4843,finalist,1524602223,finalists/david-cay-johnston-0,"For his stories that displayed exquisite command of complicated U.S. tax laws and of how corporations and individuals twist them to their advantage.
",278,117,The New York Times,,2003,117,2003,278,Beat Reporting
Nicholas Dawidoff,4844,finalist,1438981245,finalists/nicholas-dawidoff,,222,117,"The Fly Swatter
","Pantheon Books
",2003,117,2003,222,Biography
Lewis Lockwood,4845,finalist,1438981245,finalists/lewis-lockwood,,222,117,"Beethoven: The Music and the Life
","W.W. Norton
",2003,117,2003,222,Biography
Carolyn Cole,4846,finalist,1438981245,finalists/carolyn-cole,"For her extraordinarily intimate depiction of the siege of the Church of the Nativity in Bethlehem.
",216,117,"Los Angeles Times
",,2003,117,2003,216,Breaking News Photography
Photography Staff,4847,finalist,1438981245,finalists/photography-staff,"For its vivid capturing of the events and emotions stirred by the sniper killings in the Washington, D.C., region.
",216,117,"The Washington Times
",,2003,117,2003,216,Breaking News Photography
Staff,4848,finalist,1438981245,finalists/staff-120,"For its compelling and comprehensive coverage of the sniper killings that terrorized the Washington-Baltimore region.
",205,117,"The Baltimore Sun
",,2003,117,2003,205,Breaking News Reporting
