title,nid,type,changed,path_alias,citation,category_tid,year_tid,publication,publisher,year
Staff of The Wall Street Journal,22641,winner,1746454395,node/staff-wall-street-journal-22,"For chronicling political and personal shifts of the richest person in the world, Elon Musk, including his turn to conservative politics, his use of legal and illegal drugs and his private conversations with Russian President Vladimir Putin.",209,653,,,2025
"Alissa Zhu, Nick Thieme and Jessica Gallagher of The Baltimore Banner and The New York Times",22642,winner,1746288332,node/alissa-zhu-nick-thieme-and-jessica-gallagher-baltimore-banner-and-new-york-times,"For a compassionate investigative series that captured the breathtaking dimensions of Baltimore’s fentanyl crisis and its disproportionate impact on older Black men, creating a sophisticated statistical model that The Banner shared with other newsrooms.
",208,653,,,2025
"Mosab Abu Toha, contributor, The New Yorker",22645,winner,1746289688,node/mosab-abu-toha-contributor-new-yorker,For essays on the physical and emotional carnage in Gaza that combine deep reporting with the intimacy of memoir to convey the Palestinian experience of more than a year and a half of war with Israel.,212,653,,,2025
"Alexandra Lange, contributing writer, Bloomberg CityLab",22649,winner,1746290141,node/alexandra-lange-contributing-writer-bloomberg-citylab,"For graceful and genre-expanding writing about public spaces for families, deftly using interviews, observations and analysis to consider the architectural components that allow children and communities to thrive.",213,653,,,2025
"Mark Warren, contributor, Esquire",22652,winner,1746294735,node/mark-warren-contributor-esquire,For a sensitive portrait of a Baptist pastor and small town mayor who died by suicide after his secret digital life was exposed by a right-wing news site.,211,653,,,2025
"Raj Mankad, Sharon Steinmann, Lisa Falkenberg and Leah Binkovitz of the Houston Chronicle",22657,winner,1746290537,node/raj-mankad-sharon-steinmann-lisa-falkenberg-and-leah-binkovitz-houston-chronicle,For a powerful series on dangerous train crossings that kept a rigorous focus on the people and communities at risk as the newspaper demanded urgent action.,214,653,,,2025
"ProPublica, for urgent reporting by Kavitha Surana, Lizzie Presser, Cassandra Jaramillo and Stacy Kranitz",22659,winner,1746453949,node/propublica-urgent-reporting-kavitha-surana-lizzie-presser-cassandra-jaramillo-and-stacy,About pregnant women who died after doctors delayed urgently needed care for fear of violating vague “life of the mother” exceptions in states with strict abortion laws.,204,653,,,2025
"Azam Ahmed, Matthieu Aikins, contributing writer, and Christina Goldbaum of The New York Times",22663,winner,1746288213,node/azam-ahmed-matthieu-aikins-contributing-writer-and-christina-goldbaum-new-york-times,"For an authoritative examination of how the United States sowed the seeds of its own failure in Afghanistan, primarily  by supporting murderous militia that drove civilians to the Taliban.",207,653,,,2025
Staff of Reuters,22665,winner,1746454348,node/staff-reuters-22,"For a boldly reported exposé of lax regulation in the U.S. and abroad that makes fentanyl, one of the world’s deadliest drugs, inexpensive and widely available to users in the United States.
",206,653,,,2025
Declan Walsh and the Staff of The New York Times,22667,winner,1746288698,node/declan-walsh-and-staff-new-york-times,"For their revelatory investigation of the conflict in Sudan, including reporting on foreign influence and the lucrative gold trade fueling it, and chilling forensic accounts of the Sudanese forces responsible for atrocities and famine.
",210,653,,,2025
